sd,pd,os,bs,target_co_simplified,target_pr_simplified
[gtk] widget.fixmnemonic() adds a mnemonic underline for table/tree with a parenthesis in a column header,Platform,Linux,VERIFIED,SWT,P3
nullpointerexception on startup,CDT,Linux,RESOLVED,Other,P3
no property / method proposal for cloned object,z_Archived,Linux,RESOLVED,Other,P3
node creation processing does not guarantee the order,Sirius,Windows 10,CLOSED,Diagram,P3
4.13 build failed with signing issues,CBI,All,CLOSED,Other,P3
support prefix matching in show view,Platform,All,RESOLVED,UI,P3
generate javafx getters and setters fails with exception,Efxclipse,Windows 10,RESOLVED,Other,P3
add ui builder examples,Ease,All,CLOSED,Other,P3
string index out of bounds,openj9,Windows 10,RESOLVED,General,P3
when i right click on class file does not show the bottom of the right-click menu,Platform,Linux,CLOSED,SWT,P3
[9][impl] more code cleanup in package lookup,JDT,All,NEW,Core,P3
arrayindexoutofboundsexception in abstractindexertask$indexfilecontent.merge,CDT,Windows All,RESOLVED,Other,P3
classformaterror logging frequently,JDT,Windows 10,NEW,Core,P3
gendoc builds on https://ci.eclipse.org/gendoc/ do not work anymore,Community,Windows 10,CLOSED,CI-Jenkins,P3
eclipse ide for php stops working,z_Archived,Windows 10,RESOLVED,Other,P3
archive che obsolete repositories,Community,Mac OS X,RESOLVED,GitHub,P3
org.eclipse.emf.common.util.uri may fail under openj9 11+,EMF,All,RESOLVED,Core,P3
add org.json 20180813 to orbit,Orbit,Linux,CLOSED,Other,P3
property sheet and fb editor out of sync,4DIAC,All,CLOSED,4DIAC-IDE,P3
[progress] npe in jobinfo.getdisplaystringwithstatus(jobinfo.java:265),Platform,All,RESOLVED,IDE,P3
[syntax coloring] auto(un)boxed expressions not working with methods in ternary operator,JDT,Windows 10,NEW,Text,P3
please add webhook and authorization token for eclipse/che-theia repo for qe team,Community,Linux,CLOSED,GitHub,P3
could not resolve module: org.eclipse.ui.ide.application unresolved requirement: require-bundle:  org.eclipse.urischeme,Platform,Linux,CLOSED,IDE,P3
eclipse gradle import problem with duplicate project names,Virgo,Windows 10,CLOSED,Other,P3
unexpected 'the final local variable […] may already have been assigned' reported,JDT,Linux,NEW,Core,P3
sort order of xviewercolumn is not retained on copy,z_Archived,All,RESOLVED,Other,P3
add to the eclipse organization on dockerhub next dockerhub id's: 'vparfonov' and 'mariolet',Community,Mac OS X,CLOSED,Other,P3
[model2doc] we must provide junit tests for documenttemplate creation in the pdst file,Papyrus,Windows 7,NEW,Model2Doc,P3
[dtl] lua code generator operator syntax error,4DIAC,Windows 10,CLOSED,4DIAC-IDE,P3
[dtl] lua coder generator repeat/while syntax error,4DIAC,Windows 10,CLOSED,4DIAC-IDE,P3
[1.8][null] inline lambda expression ignores @nonnull constraint (declaration annotation),JDT,Windows 10,REOPENED,Core,P3
"[gtk] label background set from parent background, but the colors are not equal",Platform,Linux,VERIFIED,SWT,P3
"create ""github.com/eclipse/.github"" organization",Community,Mac OS X,RESOLVED,GitHub,P3
ctrl + a and ctrl + s not working with build id: i20190708-1800,Platform,Windows 7,CLOSED,UI,P3
http://ci.eclipse.org/wildwebdeveloper is down,Community,Linux,CLOSED,CI-Jenkins,P3
[model2doc] deletion of the semantic context doesn't delete the documenttemplate,Papyrus,Windows 7,CLOSED,Model2Doc,P3
[dom] impact of preview enabled flag on dom ast,JDT,All,VERIFIED,Core,P3
[ctabfolder] no update of min/maximage when showmin/showmax == false,Platform,Windows 10,CLOSED,SWT,P3
"[tests] papyruseditorfixture must support more file extension that only uml, notation and di...",Papyrus,Windows 7,RESOLVED,Other,P3
[passage] create email with attachment after license generation,Passage,All,VERIFIED,General,P2
error log bombarded with stringindexoutofboundexception from styledtextrenderer.gettextlayout,Platform,All,VERIFIED,SWT,P3
disable membertype sorting from jdt bug 544921,Objectteams,All,RESOLVED,Other,P3
[proposal] ecd.che.che4z,Community,Windows 10,RESOLVED,Proposals and Reviews,P3
[trademark] trademark approval required for eclipse che4z,Community,Windows 10,RESOLVED,Other,P3
[mentors] mentors required for eclipse che4z,Community,Windows 10,CLOSED,Other,P3
create mail-spec github repo,Community,Mac OS X,CLOSED,GitHub,P3
[impl] clean-up reference binding equality,JDT,All,NEW,Core,P3
[gtk3.24] compare editor button has no image,Platform,Linux,VERIFIED,SWT,P3
terminal text invisible on windows for shell in docker container,Target Management,Windows 10,CLOSED,Other,P1
move remaining project vservers to our cloud provider,Community,Linux,RESOLVED,Other,P3
move orionhub.org vserver to the eclipse foundations cloud provider,Orion,Linux,RESOLVED,Other,P3
provision docker build vps for codewind jipp,Community,All,CLOSED,CI-Jenkins,P3
move dirigible vserver to the eclipse foundations cloud provider,Dirigible,Linux,RESOLVED,General,P3
support swtbotperspective.close(),SWTBot,Windows 10,RESOLVED,Other,P3
tc freezes on closing experiment after erroneous ease script,Tracecompass,Linux,UNCONFIRMED,Core,P3
allow an extender/consumer of lsp4e's debug to provide an extended debug adapter protocol,lsp4e,All,RESOLVED,Other,P3
[code mining] show method parameter names for enum constructors,JDT,Mac OS X,RESOLVED,UI,P3
unable to download from https://download.eclipse.org/releases/2018-12/,Community,Windows 10,CLOSED,Other,P3
create eclipse/chai-openapi-response-validator repository,Community,Mac OS X,RESOLVED,GitHub,P3
app is throwing exception on installation,Oomph,Windows 10,RESOLVED,Other,P3
[dtl] wrong test fbs for repeat,4DIAC,Windows 10,CLOSED,Other,P3
[room.ui] add hyperlink to namespace imports,eTrice,Windows 10,RESOLVED,Other,P3
unable run phpunit tests,z_Archived,All,RESOLVED,Other,P3
npe in php exes,z_Archived,Mac OS X,RESOLVED,Other,P3
[gtk] cannot get rid of welcome page,Platform,Linux,CLOSED,SWT,P3
text rendering corruption on side scrolling,Platform,Mac OS X,RESOLVED,Text,P3
mylyn cannot be removed from java ide package,EPP,Linux,RESOLVED,Other,P3
deleteresourceaction should check with registered modelproviders before deleting resources,Platform,All,RESOLVED,UI,P3
org.eclipse.ui.console.consolefactories extension point should handle platform icons,Platform,All,RESOLVED,Debug,P3
cannot execute rcptt test against eclipse 2019-06 target release,RCPTT,All,RESOLVED,Runtime,P3
spam at polarsys comments,Community,Windows 10,RESOLVED,Website,P2
"improve http proxy handling  for ""manual"" proxy settings and ""native"" at all",JDT,Linux,NEW,Core,P3
type hierarchy not showing method references,JDT,All,CLOSED,Core,P3
copy&paste between resources does not work,4DIAC,Windows 10,CLOSED,4DIAC-IDE,P3
start state can have an action,4DIAC,Windows 10,CLOSED,4DIAC-IDE,P3
create github  repos for jakarta batch,Community,Windows 10,CLOSED,GitHub,P3
[elk] do not call borderitemawarelayoutprovider when an elk layout algorithm is used.,Sirius,Windows 10,CLOSED,Diagram,P3
[region] use buffered streams for persistent digraph,Equinox,Mac OS X,RESOLVED,Other,P3
equinoxmanipulator cannot handle relative path,Equinox,Linux,CLOSED,Other,P3
update jnosql driver description.,Community,Linux,CLOSED,GitHub,P3
restart https://ci-staging.eclipse.org/jgit,Community,Mac OS X,CLOSED,CI-Jenkins,P3
text scroll pane with garbled text,Platform,Mac OS X,RESOLVED,UI,P3
"[import] the ""import existing projects into workspace"" dialog should remember all of its options",Platform,All,RESOLVED,UI,P3
"[import] ""import existing projects"" dialog should not store disabled/unchangeable options",Platform,All,RESOLVED,UI,P3
declare 4.13 m1,Platform,All,RESOLVED,Releng,P3
jipp request for project jakarta bean validation,Community,Mac OS X,CLOSED,CI-Jenkins,P3
jipp request for project jakarta contexts and dependency injection,Community,Mac OS X,CLOSED,CI-Jenkins,P3
[13] api change - new general preview error,JDT,Windows 7,RESOLVED,Core,P3
filter in pom editor should ignore case,z_Archived,All,RESOLVED,m2e,P3
ssl certificate management for eclipse vorto project,Community,Windows 10,RESOLVED,Other,P3
[win] main menu entries not rendered,Platform,Windows 7,CLOSED,SWT,P3
[13][dom] unsupported exception thrown,JDT,Windows 7,RESOLVED,Core,P3
product arts running in tips ui job due to tipcomposite.loadwaitingscript(),Platform,Linux,RESOLVED,Other,P3
ci taking a lot of time to start,Community,Windows 10,CLOSED,CI-Jenkins,P3
[test]testconsoleoutputsynchronization,JDT,Windows 7,CLOSED,Debug,P3
mapping dns domains for eclipse vorto project,Community,Windows 10,RESOLVED,Other,P3
widget with html link inside is not focused until scrolled on it,RAP,Windows 10,CLOSED,Website,P3
[win32] optimize bulk inserting/deleting items for tree,Platform,Windows 10,NEW,SWT,P3
failing time conversion tests in ming64w,4DIAC,Windows 10,CLOSED,Other,P3
eclipse ide crash when renaming a class,JSDT,Windows 10,NEW,General,P3
[macos] button inherits background but no foreground (dark 10.14),Platform,Mac OS X,RESOLVED,SWT,P3
"by clicking on eclipse marketplace we are getting ""cannot install remote marketplace locations: connection failed"" error",MPC,Windows 10,CLOSED,Other,P3
[test] inclusionpatternstests.testcreateincludedpackage failing,JDT,Windows 7,NEW,Core,P3
"unable to install or download softwares, by clicking on eclipse marketplace we are getting error ""cannot install remote marketplace locations: connection failed""",MPC,Windows 10,NEW,Other,P3
nullpointerexception causes no branch decoration in git repositories view,EGit,Linux,RESOLVED,Core,P3
adding project to a run configuration with a dependency to a project that is already in the run configration,JDT,Windows 10,ASSIGNED,Debug,P3
no separator between header and first row in a table,Platform,Windows 10,CLOSED,SWT,P3
[gtk] improve accuracy of color.get[red|blue|green] methods,Platform,Linux,VERIFIED,SWT,P3
[jiro] add additional resource pack onto xtext instance,Community,All,CLOSED,CI-Jenkins,P3
[model2doc] tree table import doesn't work when there is only one column,Papyrus,Windows 7,RESOLVED,Model2Doc,P3
[jiro] add external server to xtext instance,Community,All,CLOSED,CI-Jenkins,P3
ctrl+space help not working,JDT,Windows 10,NEW,Text,P3
[gtk] help box when hovering on java constant does not completely disappear,Platform,Linux,NEW,SWT,P3
persistent npe on content assist,JDT,Windows 10,CLOSED,Core,P3
"""internal compiler error"" on ""instanceof object[]""",JDT,Linux,CLOSED,Core,P3
release mylyn docs 3.0.33,Mylyn Docs,Mac OS X,RESOLVED,Other,P3
activate jenkins xvfb,CBI,Linux,CLOSED,Other,P3
rpaths on aix,OMR,Mac OS X,RESOLVED,General,P3
loop versioner,OMR,Mac OS X,RESOLVED,General,P3
configure ghprb for lyo,Community,Mac OS X,CLOSED,CI-Jenkins,P3
[columnvieweditor] make tab traversals support looping to start of the viewer,Platform,All,VERIFIED,UI,P3
401 error when deploying to nexus from the new jiro infra,Community,Mac OS X,CLOSED,CI-Jenkins,P3
cve-2019-12086 in jackson 2.9.2,Orbit,All,RESOLVED,Other,P3
validator gets confused when a class alias matches the same name as a used trait,z_Archived,All,RESOLVED,Other,P3
[13] code selection support for java 13,JDT,Mac OS X,RESOLVED,Core,P3
[dom][13] dom ast support for jep 355 text block,JDT,All,ASSIGNED,Core,P3
grant access to projects storage service to the jenkins instance of project javamail,Community,Mac OS X,CLOSED,CI-Jenkins,P3
codefactory does not correctly escape string parameters,Ease,All,CLOSED,Other,P3
modulus time test is not available with elapsed time test in predicates,STEM,Mac OS X,CLOSED,Core,P3
calculation of damaged artifacts is wrong,Oomph,Windows 10,RESOLVED,Other,P3
update base builder from 4.12 to build 4.13 m1,Platform,All,RESOLVED,Releng,P3
deploy ecj compiler from 4.13 m1 and use it for 4.13 m2 build,Platform,Windows 7,RESOLVED,Releng,P3
initializing git support for java templates has encountered a problem,EGit,Linux,RESOLVED,Core,P3
infinite build after editing a .xcore file,EMF,Linux,RESOLVED,Other,P3
add github repository for eclipse ditto clients,Community,Linux,CLOSED,GitHub,P3
[regression][cocoa] gc.drawimage draws transparent region into black once getimagedata is invoked,Platform,Mac OS X,CLOSED,SWT,P3
request for commit rights to simrel repo,Community,All,CLOSED,Other,P3
update xtext version to 2.19.0,EMF.Parsley,Linux,RESOLVED,Core,P3
github hook for gitter,Community,Mac OS X,CLOSED,GitHub,P3
support for latest phpunit releases,z_Archived,Windows 10,CLOSED,Other,P3
description of sincetagafterversionupdateresolution should mention about version update,PDE,Windows 7,VERIFIED,Other,P3
"ecj would give an error report on the other line, if we make a bug on the comment marks.",JDT,Windows 7,RESOLVED,Core,P3
code generation fault for record of anytype with compiler option '-x',z_Archived,All,CLOSED,Other,P3
[13] gerrit builds for jdt ui beta_java13 branch still failing with latest y-build,JDT,All,RESOLVED,UI,P3
[13] organize imports should handle types in yieldstatement,JDT,All,RESOLVED,UI,P3
[scriptshell] do not execute unknown files on drop operation,Ease,All,CLOSED,UI,P3
ctrl+r (run to line) is not working,Platform,All,VERIFIED,UI,P3
[model2doc] the elements from the metamodel generatorconfiguration doesn't have property view in the papyrus context,Papyrus,Windows 7,RESOLVED,Model2Doc,P3
bugs next to comments,JDT,Windows 7,CLOSED,Core,P3
"bugs contains ""%""",JDT,Windows 7,CLOSED,Core,P3
"bugs on lack of ""return""",JDT,Windows 7,NEW,Core,P3
"ecd (enhanced class decompiler) on eclipse 2019-06 generates java src with filename != class name, the ide errors and does not open the source code",JDT,Windows 10,CLOSED,Core,P3
create a repository on github for ee4j.faces,Community,Linux,CLOSED,GitHub,P3
filteredpluginartifactsselectiondialog: highlight matching regions,PDE,All,VERIFIED,UI,P3
[1.8][compiler][null] inference unnecessarily instantiates type variable as '@nonnull string',JDT,Linux,REOPENED,Core,P3
triggering build on github push,Community,Linux,CLOSED,CI-Jenkins,P3
remove obsolete org.eclipse.ui.internal.menus actionset and viewaction classes,Platform,Windows 10,RESOLVED,UI,P3
"impossible to ""switch to"" existing branchs",EGit,Linux,RESOLVED,UI,P3
excel files (.xlsx) not opening / recognizing by eclipse,Platform,Windows 10,CLOSED,IDE,P3
4.13.0 i-build: i20190712-1800 - build failed due to compilation failure,PDE,All,VERIFIED,Build,P3
4.13.0 i-build: i20190713-0230 - build failed,Platform,Windows 7,RESOLVED,Releng,P3
"scrolling does not work and cuts information in pom ""dependendy hierarchy""-viewer",z_Archived,Mac OS X,NEW,m2e,P3
"caused by: java.lang.securityexception: class ""javax.persistence.synchronizationtype"" from eclipselink 2.7.4",EclipseLink,Linux,CLOSED,Other,P3
"caused by: java.lang.securityexception: class ""javax.persistence.synchronizationtype"" from eclipselink 2.7.4",EclipseLink,Linux,NEW,Other,P3
[cleanup & saveaction] remove redundant abstract modifier on interface,JDT,All,VERIFIED,UI,P3
[13] support --add-modules all-module-path,JDT,All,NEW,Core,P3
[gtk] swt error with java.lang.unsatisfiedlinkerror,Platform,Linux,RESOLVED,SWT,P3
not able to add testng plugin for eclipse 2019-3,PDE,Windows 10,CLOSED,Other,P3
uninitialized read of hookoutredirect at transport.java:826,JGit,All,NEW,JGit,P3
jenkins job to deploy mvn artifacts,Objectteams,Linux,RESOLVED,Releng,P3
[dom ast] astnode.setsourcerange(...) throws illegalargumentexception,JDT,Windows NT,NEW,Core,P3
[formatter] extend blank lines settings to remove excess lines,JDT,All,VERIFIED,Core,P3
method binding fails to disambiguate between non-vararg and vararg base methods,Objectteams,All,RESOLVED,Other,P3
ossrh credentials not accepted for ee4j jaspic and jacc projects,Community,All,CLOSED,CI-Jenkins,P3
titan ber decoder fails to decode s1ap in ber,z_Archived,Linux,CLOSED,Other,P3
repo.locationtech.org is down again (7/14/2019),Community,Linux,RESOLVED,Other,P3
quick switch editor: highlight matching regions,Platform,All,VERIFIED,IDE,P3
[formatter] extend blank lines settings to remove excess lines - ui,JDT,All,RESOLVED,UI,P3
eclipse application run configuration plug-ins filter resets start levels,PDE,Windows 7,CLOSED,UI,P3
not able to push gerrit without commit rights,Community,Windows 7,RESOLVED,Other,P3
[13] --enable-preview option in the compiler compliance preference should be enabled only if the compliance level is java 13,JDT,All,RESOLVED,UI,P3
[import] close project after import not working for archive imports,Platform,All,VERIFIED,UI,P3
[smart project import] custom backlink silently duplicates import wizard,Platform,Windows 7,CLOSED,UI,P3
"test ui does not execute test classes on ui ""run testsuite"" button",Ease,All,UNCONFIRMED,UI,P3
[smart project import] archive expansion override does not work,Platform,Windows 7,CLOSED,UI,P3
[releng] 2019-09 traceability,Papyrus,All,CLOSED,Core,P3
org.eclipse.lsp4e.diagnostic downloading error,lsp4e,Windows 10,CLOSED,IDE,P3
ecd (enhanced class decompiler) on eclipse 2019-06 - no longer opens decompiled code,JDT,Windows 10,CLOSED,Core,P3
[staging] make tree presentation more accessible,EGit,Windows 10,RESOLVED,UI,P3
readonly controls should not show set/unset button,ECP,Linux,RESOLVED,EMF Forms,P3
adding a target should also check the the target if that is the only target present,PDE,Windows 7,VERIFIED,UI,P3
[diagrams] copy/paste of a container does not copy diagrams,Papyrus,Linux,NEW,Diagram,P3
request for commit rights to simrel repo,Community,Linux,CLOSED,Other,P3
[xml] xml model does not resolve proxies,QVTd,Windows 10,NEW,Core,P3
importprojectsfromsvn throws classcastexception,Ease,All,CLOSED,Other,P3
osoverheadapiiocread not migrated,App4mc,Windows 10,CLOSED,Other,P3
limit frequency values to non negative values (greater or equal 0),App4mc,All,CLOSED,Other,P3
[code mining] cannot change text after the parameter mining information for certain code patterns,JDT,Linux,CLOSED,Text,P3
missing description of org.eclipse.linuxtools.jdt.docker.launcher.feature,Linux Tools,All,CLOSED,Other,P3
[traceevent] out of memory error on opening a ~90 mb json trace,Tracecompass.Incubator,Linux,CLOSED,Other,P3
[otdre] unsupportedoperationexception in classvisitor.visitnest*experimental,Objectteams,All,RESOLVED,Other,P3
[otdre] avoid logging cnfe below teamloader.findunloadablebaseclass(),Objectteams,All,RESOLVED,Other,P3
[proposal] ecd.emfcloud,Community,Windows 10,RESOLVED,Proposals and Reviews,P3
regression in modulebuildertests.testbug522671b,Objectteams,All,RESOLVED,Other,P3
[mentor] mentor required for eclipse emf.cloud,Community,Windows 10,RESOLVED,Other,P3
[trademark] trademark approval required for eclipse emf.cloud,Community,Windows 10,RESOLVED,Other,P3
[license] alternative licensing approval for eclipse emf.cloud (mit license),Community,Windows 10,RESOLVED,Other,P3
[tmf] missing marker tool tip when zoomed in,Tracecompass,Windows 10,RESOLVED,Other,P3
[terminate] rt.apricot,Community,Linux,RESOLVED,Proposals and Reviews,P3
[terminate] technology.gef3d,Community,Linux,RESOLVED,Proposals and Reviews,P3
[terminate] technology.remus,Community,Linux,RESOLVED,Proposals and Reviews,P3
[terminate] technology.packaging.rtp,Community,Linux,CLOSED,Proposals and Reviews,P3
move babel vserver to the eclipse foundations cloud provider,Babel,Linux,RESOLVED,Other,P3
[otdre] update asm version to 7.1.0,Objectteams,All,RESOLVED,Other,P3
view added to existing perspective does not show after plugin install,Platform,Windows 10,NEW,UI,P1
side scrolling in text editor results in unreadable text,Platform,Mac OS X,RESOLVED,SWT,P3
request for commit rights to simrel repo,Community,All,CLOSED,Other,P3
lsp4e editor behavior is different from other eclipse editors,lsp4e,Windows 10,CLOSED,General,P3
enable ssh access from jiro to gerrit,Community,Linux,CLOSED,Other,P3
request to release new version of nattable,NatTable,Windows 7,CLOSED,Core,P3
[build] unify source and binary p2 sites,Ease,All,CLOSED,General,P3
import of maven project suddenly blocks everything,Platform,Linux,CLOSED,IDE,P3
creating cname key value pair,Community,Windows 10,CLOSED,Other,P3
[13][quick fix] add quick fix to change project compliance and jre to 13,JDT,Windows 10,RESOLVED,UI,P3
zip is not supported by the current standard profiles on the new infrastructure,Community,Windows 7,CLOSED,CI-Jenkins,P3
no property / method proposal for array of objects,z_Archived,Linux,RESOLVED,Other,P3
[release] modeling.emf-parsley 1.8.0,Community,All,RESOLVED,Proposals and Reviews,P3
change banner on eclipse.org to promote business value ebook,Community,Windows 10,RESOLVED,Website,P3
run unit tests on previous versions of eclipse,Ease,All,CLOSED,General,P3
"execution environment should default to highest version, when jdk version is not yet supported",z_Archived,All,RESOLVED,m2e,P3
[jiro] provide embeddable build status,Community,Linux,CLOSED,CI-Jenkins,P3
equinox and rt websites seem to be broken,Equinox,Mac OS X,NEW,Website,P3
jenkins ui homepages slow until authenticated,Community,Linux,CLOSED,CI-Jenkins,P3
[release] technology.ease 0.7.0,Community,All,RESOLVED,Proposals and Reviews,P3
cannot restart m2e from pmi,Community,Linux,CLOSED,CI-Jenkins,P3
enable travis ci for eclipse-ee4j/common-annotations-api,Community,Linux,CLOSED,GitHub,P3
[ease jiro] gerrit trigger does not work anymore,Community,Linux,CLOSED,CI-Jenkins,P3
using a base-type in a content-type causes lsp4e to produce reconcile errors for the base-type,lsp4e,Linux,NEW,IDE,P3
remove older versions of xz java,Orbit,Linux,CLOSED,Other,P3
"so, my installer don't work. and it says something about a proxy...",Oomph,Windows 10,RESOLVED,Other,P3
"cannot create new makefile project using existing code - eclipse silently fails, log shows error about overlapping the location of another project",CDT,Linux,NEW,Other,P3
[13][dom ast] re-enable ast(map options) for including preview,JDT,Windows 7,RESOLVED,Core,P3
[13] implement/support processingenvironment#ispreviewenabled(),JDT,Mac OS X,RESOLVED,Core,P3
[test] can not connect to vm,JDT,All,NEW,Debug,P3
"more quickfix options for ""this plug-in does not export all of its packages""",PDE,All,VERIFIED,UI,P3
[13] merge 4.13 m1 to beta_java13,JDT,Windows 7,RESOLVED,Core,P3
semantic comparison fails with sirius diagram references,EMF.Diffmerge,Windows 7,RESOLVED,Core,P3
"windowcache keeps (huge) pack files live, causing oome",JGit,Windows All,RESOLVED,JGit,P3
[ui] improve highlight of annotations and comments,eTrice,Windows 10,RESOLVED,Other,P3
m2e jipp doesn't pick up gerrits anymore,Community,Linux,CLOSED,CI-Jenkins,P3
"m2e ci instance not reacting to gerrit, restart needed?",Community,Linux,CLOSED,CI-Jenkins,P3
[13] merge master into beta_java13,JDT,All,RESOLVED,UI,P3
possibility to organize repos in git repositories view (e.g. by common base folder),EGit,All,CLOSED,UI,P3
editor templates missing,z_Archived,All,RESOLVED,m2e,P3
[code mining] java files loose syntax colors with code minings in method params,Platform,Windows 10,CLOSED,Text,P3
changing java jdk is difficult,JDT,Linux,NEW,UI,P3
formatter for arrays within annotations,JDT,All,NEW,Core,P3
last edit location does not work correctly in split editor,Platform,Windows 7,CLOSED,Text,P3
java8-run eclipse 4.13 cannot debug java8 projects in containers,Linux Tools,Linux,RESOLVED,Other,P3
invoking properties using context menu does not work,SWTBot,Linux,CLOSED,Other,P3
"[ltk] a common ""format"" command definition",Platform,All,NEW,Text,P3
"""setup maven connectors"" dialog: ui broken",z_Archived,Linux,NEW,m2e,P3
"""install"" dialog: ""next"" active, but not working, no error information",Platform,Linux,CLOSED,UI,P3
line comment analysis does not work for c++ files,CDT,Linux,CLOSED,Other,P3
unfold an item of a tree doesn't work with the arrow of the keyboard,Sirius,Windows NT,NEW,Other,P3
name convention for function analysis does not work,CDT,Linux,CLOSED,Other,P3
codewind vps needs to push docker images to https://hub.docker.com/u/eclipse,Community,Linux,CLOSED,CI-Jenkins,P3
jvm crash (access_violation) in comobject.dispose(),Platform,Windows 7,CLOSED,SWT,P3
eclipse slow while editing java source code,JDT,Windows 10,NEW,Core,P3
modify new abstractserialversionoperationcore to work with jdt.ls,JDT,Linux,VERIFIED,UI,P3
move project resources to eclipseprojects.io,Community,Linux,NEW,Other,P3
migrate project vservers onto the eclipseprojects.io domain,Community,Linux,NEW,Other,P3
migrate project websites onto the eclipseprojects.io domain,Community,Linux,NEW,Website,P3
workbenchpage never recognize floating parts as visible (was: floating expression view does not show contents),Platform,All,VERIFIED,UI,P3
problem with initialization of aggregate containing a union,CDT,All,NEW,Other,P3
[plan] java 13 support - 4.13 part,JDT,Windows 7,RESOLVED,Core,P3
usability improvements for 4.13,JDT,All,RESOLVED,Debug,P3
[c++17] extension to aggregate initialization,CDT,All,RESOLVED,Other,P3
[13] make gerrit build work for beta_java13,JDT,All,RESOLVED,Debug,P3
pde api tools improvements in 4.13,PDE,Windows 7,RESOLVED,Other,P3
windows test results failed to complete for i20190716-1800,Platform,All,RESOLVED,Releng,P3
prepare for migration to jiro,Platform,All,RESOLVED,Releng,P3
cleanup platform ui tests,Platform,Mac OS X,NEW,UI,P3
inconsistent results with api tools,PDE,Windows 7,ASSIGNED,Other,P3
[ubuntu 14.04] native crash in os._gtk_widget_show when creating radio menuitem with ubuntu_menuproxy,Platform,Linux,VERIFIED,SWT,P3
eclipse 4.13 prerequisites for m2: emf,Platform,All,RESOLVED,Releng,P3
editor search dropdown should automatically support wildcards for dot,Platform,All,RESOLVED,UI,P3
eclipse 4.13 prerequisites for m2: ecf,Platform,All,RESOLVED,Releng,P3
eclipse 4.13 prerequisites for m2: orbit,Platform,All,RESOLVED,Releng,P3
version increment required for org.eclipse.pde.build.tests,PDE,Windows 7,RESOLVED,Build,P3
[ecj][null] error message for nullannot syntax is wrong,JDT,Mac OS X,VERIFIED,Core,P3
npe on treeviewer when tab key is pressed on last editable column,Platform,Windows 7,CLOSED,Website,P3
[13] coloring for 'yield',JDT,All,RESOLVED,Text,P3
[passage] use typed databinding widgetproperties,Passage,All,RESOLVED,General,P3
no references found on fields initialized in aggregate initialization,CDT,All,CLOSED,Other,P3
"an internal error occurred during: ""updating language mappings for project iar project"".",CDT,Windows 10,NEW,Other,P3
different version of org.apache.httpcomponents.httpclient in orbit m1 and platform m1,Platform,Linux,CLOSED,Releng,P3
dot editor - improve content assistant of the style attribute values,GEF,Windows 7,RESOLVED,Other,P3
debugger variable hover does not work in static initializer,JDT,All,VERIFIED,Debug,P3
jaxws: need github bot credentials to create issues and pull requests from job,Community,Mac OS X,CLOSED,CI-Jenkins,P3
jsdt build failing,JSDT,All,RESOLVED,General,P3
dependency on ui plugins,EMFT.Henshin,Windows 7,CLOSED,Other,P3
[proposal] technology.iceoryx,Community,Windows 10,NEW,Proposals and Reviews,P3
[mentor] mentor required for eclipse iceoryx,Community,Windows 10,RESOLVED,Other,P3
[trademark] trademark approval required for eclipse iceoryx,Community,Windows 10,RESOLVED,Other,P3
[license] alternative licensing approval for eclipse iceoryx (apache 2.0),Community,Windows 10,RESOLVED,Other,P3
[dtl] testing of composite fbs,4DIAC,Windows 10,CLOSED,Other,P3
[java search] no results for searching plugin dependency library class references in a plugin project.,JDT,Linux,NEW,Core,P3
publisher 'eclipse' for https://marketplace.visualstudio.com/vscode,Community,All,RESOLVED,Other,P3
[performance] improve performance of initializing the framework instance from cache state,Equinox,Mac OS X,RESOLVED,Other,P3
eclipse 2019-06: error changing to design tab,XWT,Mac OS X,NEW,Other,P3
assertionfailedexception below filesystemselectionarea.createcontents (thrown in structuredviewer.assertelementsnotnull),Platform,All,RESOLVED,UI,P3
dot editor - implement redundant html attribute validation rule,GEF,Windows 7,RESOLVED,Other,P3
[macos] support emojis in text input fields,Platform,Mac OS X,NEW,SWT,P3
dot editor - add hovering support to dot html-like label color attribute values.,GEF,Windows 7,RESOLVED,Other,P3
[13][search] jdt search support for switch expressions,JDT,Windows 7,RESOLVED,Core,P3
swt code cleanup,Platform,All,RESOLVED,SWT,P3
improve color picker enablement on text editor preference page,Platform,All,RESOLVED,Text,P3
org.eclipse.epp.logging.aeri.feature_2.0.7.v20180504-0806 looks strange in eclipse 2019-06,EPP,All,RESOLVED,Other,P3
processingenvironment returns wrong sourceversion,JDT,All,CLOSED,Other,P3
[code mining] slow display of code minings (restless user interface),JDT,All,NEW,Text,P3
unable to connect sap system,Platform,Windows 7,CLOSED,IDE,P3
[hidpi] improve hidpi support in 4.13,Platform,Linux,CLOSED,SWT,P3
add description to https://github.com/eclipse/californium,Community,All,CLOSED,GitHub,P3
[history view] add button for showing first parent only,EGit,All,RESOLVED,UI,P3
launchbar does not work/appear in 2019-09 m1,CDT,Linux,RESOLVED,Other,P3
"""using apache mina sshd as ssh client"" in log",EGit,Linux,RESOLVED,Core,P3
[ui.room] quickfix shows elements with wrong namespace,eTrice,Windows 10,RESOLVED,Other,P3
cannot connec to marketplace with photon-r,MPC,Windows 7,NEW,Other,P3
clean up build hacks after bug 535509,Objectteams,All,RESOLVED,Releng,P3
[content-types] contenttypemanager inadvertently matching base-type for any contenttype that has a base-type (other than plain text),Platform,All,CLOSED,Runtime,P3
